Table,Column,Data_Type,Constraints,Description,Example_Value
users,id,TEXT,PRIMARY KEY,Unique user identifier,admin1
users,username,TEXT,UNIQUE NOT NULL,Login username,admin
users,email,TEXT,UNIQUE NOT NULL,User email address,admin@example.com
users,password,TEXT,NOT NULL,Hashed password,$2b$10$hashedvalue
users,role,TEXT,NOT NULL DEFAULT 'user',User role (admin/st/sm/ce/sb/sor/tp),admin
users,isAdmin,BOOLEAN,DEFAULT false,Administrative privileges flag,true
users,division,TEXT,,Organizational division,ADMIN
users,direction,TEXT,,Organizational direction,ADMIN
users,createdAt,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Account creation date,2024-01-01 10:00:00
users,updatedAt,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Last update timestamp,2024-01-01 10:00:00

workflow_steps,id,SERIAL,PRIMARY KEY,Auto-generated step ID,1
workflow_steps,stepNumber,INTEGER,NOT NULL,Step number in workflow (1-59),1
workflow_steps,phase,INTEGER,NOT NULL,Workflow phase (1-3),1
workflow_steps,title,TEXT,NOT NULL,Step title,Évaluation des besoins
workflow_steps,description,TEXT,,Detailed step description,Analyser et identifier les besoins
workflow_steps,actorRole,TEXT,NOT NULL,Responsible actor role,ST
workflow_steps,estimatedDuration,INTEGER,DEFAULT 1,Estimated duration in days,2
workflow_steps,createdAt,TIMESTAMP,DEFAULT CURRENT_TIMESTAMP,Step creation timestamp,2024-01-01 10:00:00

tenders,id,TEXT,PRIMARY KEY,Unique tender identifier,tender-it-001
tenders,reference,TEXT,UNIQUE NOT NULL,Official tender reference,AO-IT-2024-001
tenders,title,TEXT,NOT NULL,Tender title,Acquisition équipements informatiques
tenders,description,TEXT,,Detailed tender description,Fourniture de 50 ordinateurs portables
tenders,amount,TEXT,,Estimated tender value,850000
tenders,direction,TEXT,NOT NULL,Organizational direction,DSI
tenders,division,TEXT,,Organizational division,DSI
tenders,currentPhase,INTEGER,DEFAULT 1,Current workflow phase (1-3),2
tenders,currentStep,INTEGER,DEFAULT 1,Current workflow step (1-59),30
tenders,currentActorId,TEXT,FOREIGN KEY,Current responsible actor,st1
